Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
233,5.6019,169,597,198,169,29,0,2,0,7,12,3,1,3,10,0,0,4,0,4,OK
234,7.674,124,775,537,124,413,0,8,0,5,2,2,2,0,8,5,0,7,0,6,OK
235,23.251,246,2018,1430,246,1184,0,1,0,1,73,16,4,0,7,27,0,3,0,50,OK
236,3.0285,109,353,109,109,0,0,0,0,1,9,1,1,0,8,0,0,2,0,15,OK
237,98.1299,184,5322,4841,476,4657,0,75,0,6,224,6,2,0,7,299,0,2,0,47,OK
238,6.8762,101,711,466,101,365,0,2,0,1,6,3,2,0,3,3,0,3,0,61,OK
239,2.2946,117,362,119,117,2,0,0,0,4,5,1,1,0,2,3,0,2,0,6,OK
240,4.3603,114,362,114,114,0,0,0,0,2,4,1,1,1,10,0,0,4,0,7,OK
241,3.2825,133,440,257,133,124,0,1,0,3,1,0,2,0,9,9,0,4,0,1,OK
242,8.1411,259,973,268,259,9,0,8,0,4,8,2,1,0,6,2,0,2,0,8,OK
243,5.5008,105,504,211,105,106,0,0,0,1,1,0,2,0,7,0,0,2,0,44,OK
244,3.4616,113,466,115,113,2,0,0,0,2,12,3,1,0,11,0,0,2,0,12,OK
245,2.7056,131,401,131,131,0,0,0,0,5,5,6,3,0,8,1,0,3,0,8,OK
246,2.219,116,350,116,116,0,0,0,0,3,5,2,3,0,11,2,0,3,0,4,OK
247,3.7226,121,411,144,121,23,0,1,0,8,3,0,2,1,6,4,0,6,0,3,OK
248,54.2893,267,3707,2794,421,2527,0,42,0,2,136,13,0,0,9,137,0,2,0,45,OK
249,3.3625,108,441,126,108,18,0,0,0,2,2,0,2,0,8,1,0,3,0,48,OK
250,2.2763,126,409,126,126,0,0,0,0,8,3,1,6,0,4,1,0,4,0,1,OK
251,3.9536,108,422,108,108,0,0,0,0,2,3,1,1,0,5,1,0,4,0,37,OK
252,2.0078,122,363,131,122,9,0,0,3,4,5,2,1,0,3,1,0,9,0,7,OK
253,43.3394,272,3247,2698,272,2426,0,55,0,5,41,12,0,0,1,1,0,2,0,8,OK
254,36.6095,123,2561,2299,123,2176,0,34,0,6,28,0,2,3,2,44,0,6,0,33,OK
255,5.7967,112,639,381,112,269,0,0,0,2,47,4,0,0,4,6,0,2,0,15,OK
